# FRS_AoQ shift value 
# Low WR, High WR   AoQ_TPC       AoQ_SC21    AoQ_Sc22
 23658     23718    -0.0018053  -0.0043777	-0.0061491
 23718     23778    -0.0017315  -0.0042790	-0.0059285
 23778     23838    -0.0018726  -0.0044463	-0.0064188
 23838     23898    -0.0017277  -0.0043947	-0.0063731
 23898     23958    -0.0019171  -0.0044502	-0.0063294
 23958     24018    -0.0019100  -0.0043932	-0.0061667
 24018     24078    -0.0020645  -0.0046078	-0.0062297
 24078     24138    -0.0021288  -0.0047276	-0.0067109
 24138     24198    -0.0022753  -0.0048044	-0.0064250
 24198     24258    -0.0020716  -0.0047292	-0.0066858
 24258     24318    -0.0016676  -0.0047074	-0.0065026
 24318     24378    -0.0020251  -0.0047147	-0.0066280
 24378     24438    -0.0021582  -0.0047772	-0.0064394
 24438     24498    -0.0019479  -0.0048640	-0.0067505
 24498     24558    -0.0020406  -0.0047510	-0.0066099
 24558     24618    -0.0020818  -0.0047116	-0.0065077
 24618     24678    -0.0021265  -0.0046331	-0.0063982
 24678     24738    -0.0020434  -0.0046525	-0.0064006
 24738     24798    -0.0022258  -0.0047353	-0.0066035
 24798     24858    -0.0021504  -0.0047672	-0.0065691
 24858     24918    -0.0021980  -0.0048071	-0.0066636
 24918     24978    -0.0022795  -0.0048524	-0.0067507
 24978     25038    -0.0024604  -0.0048613	-0.0067618
 25038     25098    -0.0024742  -0.0049727	-0.0068005
 25098     25158    -0.0025645  -0.0052243	-0.0066134
 25158     25218    -0.0025794  -0.0051358	-0.0066626
 25218     25278    -0.0026614  -0.0051831	-0.0068244
 25278     25338    -0.0027662  -0.0053316	-0.0069490
 25338     25398    -0.0028109  -0.0053841	-0.0071156
 25398     25458    -0.0028623  -0.0054384	-0.0072916
 25458     25518    -0.0031035  -0.0056114	-0.0073030
 25518     25578    -0.0031214  -0.0056795	-0.0076335
 25578     25638    -0.0031771  -0.0057094	-0.0074680
 25638     25698    -0.0032714  -0.0057614	-0.0077230
 25698     25758    -0.0033427  -0.0058340	-0.0075763
 25758     25818    -0.0033560  -0.0058451	-0.0076858
 25818     25878    -0.0033938  -0.0057971	-0.0073596
 25878     25938    -0.0033249  -0.0057317	-0.0072658
 25938     25998    -0.0032533  -0.0055214	-0.0074346
 25998     26058    -0.0031903  -0.0057561	-0.0075055
 26058     26118    -0.0031903  -0.0057561	-0.0075055
 26118     26178    -0.0031903  -0.0057561	-0.0075055
 26178     26238    -0.0033569  -0.0055847	-0.0075356
 26238     26298    -0.0032916  -0.0056291	-0.0072813
 26298     26358    -0.0033210  -0.0056585	-0.0074452
 26358     26418    -0.0035462  -0.0058840	-0.0074037
 26418     26478    -0.0034951  -0.0057880	-0.0076969
 26478     26538    -0.0034009  -0.0056426	-0.0072833
 26538     26598    -0.0035549  -0.0059172	-0.0075922
 26598     26658    -0.0036896  -0.0060565	-0.0076544
 26658     26718    -0.0037138  -0.0059275	-0.0076442
 26718     26778    -0.0035349  -0.0058372	-0.0076874
 26778     26838    -0.0037874  -0.0059772	-0.0077910
 26838     26898    -0.0038031  -0.0060383	-0.0078211
 26898     26958    -0.0038249  -0.0061708	-0.0069535
 26958     27018    -0.0039279  -0.0062301	-0.0081494
 27018     27078    -0.0040062  -0.0060486	-0.0079844
 27078     27138    -0.0041260  -0.0061992	-0.0080075
 27138     27198    -0.0040802  -0.0062441	-0.0080790
 27198     27258    -0.0040256  -0.0062157	-0.0079410
 27258     27318    -0.0041292  -0.0061376	-0.0080122
 27318     27378    -0.0042852  -0.0065178	-0.0082534
 27378     27438    -0.0043525  -0.0063638	-0.0083917
 27438     27498    -0.0042936  -0.0065099	-0.0081601
 27498     27558    -0.0044429  -0.0065604	-0.0083331
 27558     27618    -0.0043817  -0.0065652	-0.0083999
 27618     27678    -0.0044499  -0.0065863	-0.0083379
 27678     27738    -0.0044747  -0.0066906	-0.0082402
 27738     27798    -0.0044713  -0.0068185	-0.0085753
