#  FRS_Z1 Z2 shift values 
 26118     26178    0.3984891	 0.3701024
 26178     26238    0.3739064	 0.3231779
 26238     26298    0.3853406	 0.3379350
 26298     26358    0.4379760	 0.3812735
 26358     26418    0.4516029	 0.3970144
 26418     26478    0.4688290	 0.4160502
 26478     26538    0.4756577	 0.4357509
 26538     26598    0.4680847	 0.4219642
 26598     26658    0.4592951	 0.4091338
 26658     26718    0.4405570	 0.3982478
 26718     26778    0.3794304	 0.3469047
 26778     26838    0.3699903	 0.3304300
 26838     26898    0.3470427	 0.3095886
 26898     26958    0.3049659	 0.2692793
 26958     27018    0.2815575	 0.2437187
 27018     27078    0.2554354	 0.2178869
 27078     27138    0.2274888	 0.1890098
 27138     27198    0.2054029	 0.1616249
 27198     27258    0.2473822	 0.2185625
 27258     27318    0.2863714	 0.2487307
 27318     27378    0.2797383	 0.2386238
 27378     27438    0.2411973	 0.2031959
 27438     27498    0.2261475	 0.1915954
 27498     27558    0.2225096	 0.1838608
 27558     27618    0.2294768	 0.1846960
 27618     27678    0.2557408	 0.2148639
 27678     27738    0.2811180	 0.2401238
 27738     27798    0.2934093	 0.2603612
 27798     27858    0.3023386	 0.2682887
 27858     27918    0.3229176	 0.2915140
 27918     27978    0.3504160	 0.3112956
 27978     28038    0.3705625	 0.3385951
 28038     28098    0.3918326	 0.3579621
 28098     28158    0.4111350	 0.3848295
 28158     28218    0.4491553	 0.4139406
 28218     28278    0.4860638	 0.4572011
 28278     28338    0.5317462	 0.4954339
 28338     28398    0.5661475	 0.5335876
 28398     28458    0.6050176	 0.5693178
 28458     28518    0.6307769	 0.6009723
 28518     28578    0.6452985	 0.6102196
 28578     28638    0.6271543	 0.5995509
 28638     28698    0.6059315	 0.5780754
 28698     28758    0.5902333	 0.5569355
 28758     28818    0.5616903	 0.5318399
 28818     28878    0.5792411	 0.5405152
 28878     28938    0.5858165	 0.5529215
