#Root	file	name	:Source_run_5700.root		
	35	1469.95	0.998674	28316	28334
#Root	file	name	:Source_run_5740.root		0
	0	1463.67	1.00296	28334	28350
	1	1467.15	1.00058	28334	28350
	2	1467.56	1.0003	28334	28350
	3	1461.84	1.00421	28334	28350
	4	1467.78	1.00015	28334	28350
	5	1478.81	0.99269	28334	28350
	6	1472.29	0.997088	28334	28350
	7	1462.41	1.00382	28334	28350
	8	1483.09	0.989823	28334	28350
	9	1460.72	1.00499	28334	28350
	10	1461.64	1.00435	28334	28350
	11	1463.38	1.00316	28334	28350
	12	1451.6	1.0113	28334	28350
	13	1464.66	1.00228	28334	28350
	14	1484.1	0.98915	28334	28350
	15	1448.57	1.01341	28334	28350
	16	1467.02	1.00067	28334	28350
	17	1477.76	0.993392	28334	28350
	18	1470.97	0.997984	28334	28350
	19	1466.27	1.00118	28334	28350
	20	1460.75	1.00496	28334	28350
	21	1465.98	1.00138	28334	28350
	22	1474.5	0.995594	28334	28350
	23	1468.18	0.99988	28334	28350
	24	1460.6	1.00507	28334	28350
	25	1466.66	1.00091	28334	28350
	26	1457.13	1.00746	28334	28350
	27	1485.5	0.988223	28334	28350
	28	1459.24	1.006	28334	28350
	29	1468.05	0.999964	28334	28350
	30	1454.06	1.00958	28334	28350
	31	1450.21	1.01226	28334	28350
	32	1474.5	0.99559	28334	28350
	33	1468.86	0.999413	28334	28350
	34	3911.53	0.3753	28334	28350
	35	1470.12	0.998557	28334	28350
#Root	file	name	:Source_run_5750.root		0
	0	1462.88	1.0035	28350	28385
	1	1467.52	1.00033	28350	28385
	2	1468.39	0.999734	28350	28385
	3	1459.97	1.0055	28350	28385
	4	1468.11	0.999922	28350	28385
	5	1479.22	0.992412	28350	28385
	6	1473.11	0.99653	28350	28385
	7	1462.47	1.00378	28350	28385
	8	1482.14	0.990463	28350	28385
	9	1460.92	1.00484	28350	28385
	10	1463.75	1.00291	28350	28385
	11	1463.18	1.0033	28350	28385
	12	1451.2	1.01158	28350	28385
	13	1464.9	1.00212	28350	28385
	14	1483.41	0.989615	28350	28385
	15	1447.53	1.01414	28350	28385
	16	1466.3	1.00116	28350	28385
	17	1477.33	0.993687	28350	28385
	18	1471.01	0.997953	28350	28385
	19	1467.15	1.00058	28350	28385
	20	1461.03	1.00477	28350	28385
	21	1466.79	1.00083	28350	28385
	22	1474.68	0.995471	28350	28385
	23	1469.06	0.999278	28350	28385
	24	1461.96	1.00413	28350	28385
	25	1466.91	1.00074	28350	28385
	26	1458.7	1.00637	28350	28385
	27	1485.35	0.988322	28350	28385
	28	1459.1	1.0061	28350	28385
	29	1468.61	0.999586	28350	28385
