1.00648	-6.38723	27912	27920
0.999994	0.999994	27929	27937
1.00613	-5.81147	27945	27953
1.00565	-6.07763	27962	27970
1.00636	-6.94667	27979	27987
1.00682	-7.7216	27996	28004
1.00629	-6.47663	28012	28021
1.0066	-7.59696	28029	28038
1.00534	-4.95807	28046	28054
1.00617	-6.27282	28062	28070
1.00763	-8.42423	28079	28087
1.00405	-4.92403	28095	28104
1.00506	-5.26404	28131	28140
1.0056	-6.11159	28148	28156
1.00621	-7.3898	28165	28173
1.00712	-8.53218	28182	28190
1.00667	-7.88911	28199	28207
1.00562	-6.55332	28216	28224
1.0055	-6.02554	8233	28241
1.0058	-6.29917	28249	28258
1.00603	-6.11235	28266	28274
1.0055	-5.71539	28283	28291
1.00603	-6.63394	28299	28308
1.00435	-4.88095	28316	28325
1.00578	-6.57922	28334	28342
1.00588	-6.82625	28350	28359
1.00556	-6.3366	28385	28393
1.00703	-8.45122	28402	28410
1.00588	-6.92684	28419	28428
1.00572	-6.7841	28436	28445
1.00586	-7.04751	28453	28463
1.00618	-7.55456	28472	28481
1.00437	-4.52016	28489	28498
1.00674	-8.6359	28507	28516
1.00529	-5.75686	28525	28534
1.00506	-4.97103	28561	28570
1	0.999995	28579	28588
1.00572	-5.21362	28598	28607
1.0071	-6.73247	28616	28625
1.00685	-5.84353	28634	28674
1.00923	-7.46814	28683	28692
1.00971	-7.33137	28701	28710
1.0085	-5.36662	28719	28728
1.00819	-4.09442	28737	28746
1.01046	-6.76312	28755	28764
1.01077	-7.2436	28773	28782
1.01061	-6.8179	28791	28800
1.01084	-6.62407	28809	28818
